home_team,away_team,home_goals,away_goals,result,season
Sheffield United,Liverpool,1.0,1.0,D,2006-2007
Arsenal,Aston Villa,1.0,1.0,D,2006-2007
Everton,Watford,2.0,1.0,H,2006-2007
Newcastle United,Wigan Athletic,2.0,1.0,H,2006-2007
Portsmouth,Blackburn Rovers,3.0,0.0,H,2006-2007
Reading,Middlesbrough,3.0,2.0,H,2006-2007
West Ham United,Charlton Athletic,3.0,1.0,H,2006-2007
Bolton Wanderers,Tottenham Hotspur,2.0,0.0,H,2006-2007
Manchester United,Fulham,5.0,1.0,H,2006-2007
Chelsea,Manchester City,3.0,0.0,H,2006-2007
Watford,West Ham United,1.0,1.0,D,2006-2007
Tottenham Hotspur,Sheffield United,2.0,0.0,H,2006-2007
Aston Villa,Reading,2.0,1.0,H,2006-2007
Manchester City,Portsmouth,0.0,0.0,D,2006-2007
Blackburn Rovers,Everton,1.0,1.0,D,2006-2007
Charlton Athletic,Manchester United,0.0,3.0,A,2006-2007
Fulham,Bolton Wanderers,1.0,1.0,D,2006-2007
Middlesbrough,Chelsea,2.0,1.0,H,2006-2007
Liverpool,West Ham United,2.0,1.0,H,2006-2007
Charlton Athletic,Bolton Wanderers,2.0,0.0,H,2006-2007
Fulham,Sheffield United,1.0,0.0,H,2006-2007
Tottenham Hotspur,Everton,0.0,2.0,A,2006-2007
Watford,Manchester United,1.0,2.0,A,2006-2007
Wigan Athletic,Reading,1.0,0.0,H,2006-2007
Manchester City,Arsenal,1.0,0.0,H,2006-2007
Aston Villa,Newcastle United,2.0,0.0,H,2006-2007
Blackburn Rovers,Chelsea,0.0,2.0,A,2006-2007
Middlesbrough,Portsmouth,0.0,4.0,A,2006-2007
Everton,Liverpool,3.0,0.0,H,2006-2007
Arsenal,Middlesbrough,1.0,1.0,D,2006-2007
Bolton Wanderers,Watford,1.0,0.0,H,2006-2007
Chelsea,Charlton Athletic,2.0,1.0,H,2006-2007
Newcastle United,Fulham,1.0,2.0,A,2006-2007
Portsmouth,Wigan Athletic,1.0,0.0,H,2006-2007
Sheffield United,Blackburn Rovers,0.0,0.0,D,2006-2007
Manchester United,Tottenham Hotspur,1.0,0.0,H,2006-2007
West Ham United,Aston Villa,1.0,1.0,D,2006-2007
Reading,Manchester City,1.0,0.0,H,2006-2007
Charlton Athletic,Portsmouth,0.0,1.0,A,2006-2007
Bolton Wanderers,Middlesbrough,0.0,0.0,D,2006-2007
Everton,Wigan Athletic,2.0,2.0,D,2006-2007
Sheffield United,Reading,1.0,2.0,A,2006-2007
Watford,Aston Villa,0.0,0.0,D,2006-2007
Chelsea,Liverpool,1.0,0.0,H,2006-2007
Blackburn Rovers,Manchester City,4.0,2.0,H,2006-2007
Tottenham Hotspur,Fulham,0.0,0.0,D,2006-2007
West Ham United,Newcastle United,0.0,2.0,A,2006-2007
Manchester United,Arsenal,0.0,1.0,A,2006-2007
Liverpool,Newcastle United,2.0,0.0,H,2006-2007
Liverpool,Tottenham Hotspur,3.0,0.0,H,2006-2007
Arsenal,Sheffield United,3.0,0.0,H,2006-2007
Aston Villa,Charlton Athletic,2.0,0.0,H,2006-2007
Fulham,Chelsea,0.0,2.0,A,2006-2007
Manchester City,West Ham United,2.0,0.0,H,2006-2007
Middlesbrough,Blackburn Rovers,0.0,1.0,A,2006-2007
Wigan Athletic,Watford,1.0,1.0,D,2006-2007
Reading,Manchester United,1.0,1.0,D,2006-2007
Newcastle United,Everton,1.0,1.0,D,2006-2007
Portsmouth,Bolton Wanderers,0.0,1.0,A,2006-2007
Bolton Wanderers,Liverpool,2.0,0.0,H,2006-2007
Charlton Athletic,Arsenal,1.0,2.0,A,2006-2007
Chelsea,Aston Villa,1.0,1.0,D,2006-2007
Everton,Manchester City,1.0,1.0,D,2006-2007
Sheffield United,Middlesbrough,2.0,1.0,H,2006-2007
West Ham United,Reading,0.0,1.0,A,2006-2007
Blackburn Rovers,Wigan Athletic,2.0,1.0,H,2006-2007
Manchester United,Newcastle United,2.0,0.0,H,2006-2007
Tottenham Hotspur,Portsmouth,2.0,1.0,H,2006-2007
Watford,Fulham,3.0,3.0,D,2006-2007
Wigan Athletic,Manchester United,1.0,3.0,A,2006-2007
Arsenal,Watford,3.0,0.0,H,2006-2007
Aston Villa,Tottenham Hotspur,1.0,1.0,D,2006-2007
Liverpool,Blackburn Rovers,1.0,1.0,D,2006-2007
Manchester City,Sheffield United,0.0,0.0,D,2006-2007
Middlesbrough,Everton,2.0,1.0,H,2006-2007
Portsmouth,West Ham United,2.0,0.0,H,2006-2007
Reading,Chelsea,0.0,1.0,A,2006-2007
Newcastle United,Bolton Wanderers,1.0,2.0,A,2006-2007
Fulham,Charlton Athletic,2.0,1.0,H,2006-2007
Wigan Athletic,Manchester City,4.0,0.0,H,2006-2007
Charlton Athletic,Watford,0.0,0.0,D,2006-2007
Chelsea,Portsmouth,2.0,1.0,H,2006-2007
Everton,Sheffield United,2.0,0.0,H,2006-2007
Aston Villa,Fulham,1.0,1.0,D,2006-2007
Manchester United,Liverpool,2.0,0.0,H,2006-2007
Blackburn Rovers,Bolton Wanderers,0.0,1.0,A,2006-2007
Middlesbrough,Newcastle United,1.0,0.0,H,2006-2007
Tottenham Hotspur,West Ham United,1.0,0.0,H,2006-2007
Reading,Arsenal,0.0,4.0,A,2006-2007
Sheffield United,Chelsea,0.0,2.0,A,2006-2007
Arsenal,Everton,1.0,1.0,D,2006-2007
Bolton Wanderers,Manchester United,0.0,4.0,A,2006-2007
Fulham,Wigan Athletic,0.0,1.0,A,2006-2007
Liverpool,Aston Villa,3.0,1.0,H,2006-2007
Portsmouth,Reading,3.0,1.0,H,2006-2007
Watford,Tottenham Hotspur,0.0,0.0,D,2006-2007
Newcastle United,Charlton Athletic,0.0,0.0,D,2006-2007
West Ham United,Blackburn Rovers,2.0,1.0,H,2006-2007
Manchester City,Middlesbrough,1.0,0.0,H,2006-2007
Fulham,Everton,1.0,0.0,H,2006-2007
Bolton Wanderers,Wigan Athletic,0.0,1.0,A,2006-2007
Charlton Athletic,Manchester City,1.0,0.0,H,2006-2007
Liverpool,Reading,2.0,0.0,H,2006-2007
Manchester United,Portsmouth,3.0,0.0,H,2006-2007
Watford,Middlesbrough,2.0,0.0,H,2006-2007
Newcastle United,Sheffield United,0.0,1.0,A,2006-2007
West Ham United,Arsenal,1.0,0.0,H,2006-2007
Aston Villa,Blackburn Rovers,2.0,0.0,H,2006-2007
Tottenham Hotspur,Chelsea,2.0,1.0,H,2006-2007
Manchester City,Newcastle United,0.0,0.0,D,2006-2007
Chelsea,Watford,4.0,0.0,H,2006-2007
Everton,Aston Villa,0.0,1.0,A,2006-2007
Middlesbrough,West Ham United,1.0,0.0,H,2006-2007
Portsmouth,Fulham,1.0,1.0,D,2006-2007
Sheffield United,Bolton Wanderers,2.0,2.0,D,2006-2007
Wigan Athletic,Charlton Athletic,3.0,2.0,H,2006-2007
Blackburn Rovers,Manchester United,0.0,1.0,A,2006-2007
Reading,Tottenham Hotspur,3.0,1.0,H,2006-2007
Arsenal,Liverpool,3.0,0.0,H,2006-2007
Manchester City,Fulham,3.0,1.0,H,2006-2007
Arsenal,Newcastle United,1.0,1.0,D,2006-2007
Chelsea,West Ham United,1.0,0.0,H,2006-2007
Everton,Bolton Wanderers,1.0,0.0,H,2006-2007
Portsmouth,Watford,2.0,1.0,H,2006-2007
Reading,Charlton Athletic,2.0,0.0,H,2006-2007
Sheffield United,Manchester United,1.0,2.0,A,2006-2007
Middlesbrough,Liverpool,0.0,0.0,D,2006-2007
Wigan Athletic,Aston Villa,0.0,0.0,D,2006-2007
Blackburn Rovers,Tottenham Hotspur,1.0,1.0,D,2006-2007
Charlton Athletic,Everton,1.0,1.0,D,2006-2007
Aston Villa,Middlesbrough,1.0,1.0,D,2006-2007
Fulham,Reading,0.0,1.0,A,2006-2007
Liverpool,Manchester City,1.0,0.0,H,2006-2007
West Ham United,Sheffield United,1.0,0.0,H,2006-2007
Bolton Wanderers,Arsenal,3.0,1.0,H,2006-2007
Newcastle United,Portsmouth,1.0,0.0,H,2006-2007
Tottenham Hotspur,Wigan Athletic,3.0,1.0,H,2006-2007
Manchester United,Chelsea,1.0,1.0,D,2006-2007
Watford,Sheffield United,0.0,1.0,A,2006-2007
Aston Villa,Manchester City,1.0,3.0,A,2006-2007
Fulham,Arsenal,2.0,1.0,H,2006-2007
Bolton Wanderers,Chelsea,0.0,1.0,A,2006-2007
Liverpool,Portsmouth,0.0,0.0,D,2006-2007
Manchester United,Everton,3.0,0.0,H,2006-2007
Arsenal,Tottenham Hotspur,3.0,0.0,H,2006-2007
Blackburn Rovers,Fulham,2.0,0.0,H,2006-2007
